review_id,review_text,rating,verified_purchase,reviewer_total_reviews,helpful_votes,label
1,The book arrived with a slightly bent cover but content and print quality are excellent. Took a week to deliver to Jabalpur.,5,No,119,12,0
2,Bought this phone 3 months ago. Battery lasts about a day with normal use. Camera is good in daylight but struggles a bit at night. Overall happy with the purchase for this price range.,4,Yes,42,15,0
3,"Decent budget earphones. Bass is average, mids are clear. Had connectivity drop issues once or twice but otherwise fine for the price.",5,Yes,86,0,0
4,Bought this phone 3 months ago. Battery lasts about a day with normal use. Camera is good in daylight but struggles a bit at night. Overall happy with the purchase for this price range.,5,Yes,29,3,0
5,"Used this for 6 weeks. Skin didn't break out, mild fragrance. Doesn't work miracles but does what it says - basic moisturizing.",5,No,17,7,0
6,Amazing amazing amazing perfect perfect perfect love it love it love it,5,No,1,0,1
7,Totally satisfied totally happy totally amazed by this wonderful magical product,1,No,4,2,1
8,"Assembly took about 40 minutes, instructions were a bit unclear in Hindi but manageable. Table is sturdy once assembled.",5,Yes,195,4,0
9,"I've been using this mixer grinder for 2 months now. Motor is powerful, handles dal and chutney easily. Only issue is the jar lid doesn't seal perfectly.",5,Yes,176,3,0
10,This is the best purchase I have ever made in my entire life totally worth every penny,1,No,5,2,1
11,The taste is good but slightly sweeter than expected. Packaging was intact on delivery. Will order again next month.,5,No,117,17,0
12,Best best best product in this price range nothing can beat this amazing item,1,No,1,0,1
13,Bought this phone 3 months ago. Battery lasts about a day with normal use. Camera is good in daylight but struggles a bit at night. Overall happy with the purchase for this price range.,5,No,35,14,0
14,"Used this for 6 weeks. Skin didn't break out, mild fragrance. Doesn't work miracles but does what it says - basic moisturizing.",4,No,153,12,0
15,Outstanding quality outstanding service outstanding everything five star five star,5,No,4,0,1
16,Five stars five stars five stars best purchase ever made totally recommend buy,1,No,1,2,1
17,This product changed my life completely amazing incredible fantastic wonderful,1,No,4,1,1
18,Good for the price but customer service was slow to respond when I had a query about warranty. Product performance is satisfactory.,5,Yes,85,15,0
19,I am very very happy with this product it is very very good very nice very good,1,No,5,0,1
20,Best best best product in this price range nothing can beat this amazing item,5,No,1,1,1
21,I am very very happy with this product it is very very good very nice very good,1,Yes,5,2,1
22,"The fabric quality is decent, not premium but okay for daily wear. Size runs slightly small so order one size up. Delivery took 5 days.",5,Yes,105,27,0
23,Laptop heats up a bit during long usage but performance for coding and browsing is smooth. Battery backup is around 4-5 hours.,5,Yes,140,1,0
24,Best best best product in this price range nothing can beat this amazing item,1,No,3,0,1
25,"Used this for 6 weeks. Skin didn't break out, mild fragrance. Doesn't work miracles but does what it says - basic moisturizing.",5,Yes,139,13,0
26,The taste is good but slightly sweeter than expected. Packaging was intact on delivery. Will order again next month.,5,Yes,131,40,0
27,"Assembly took about 40 minutes, instructions were a bit unclear in Hindi but manageable. Table is sturdy once assembled.",5,Yes,77,10,0
